id_partido,fecha,equipo_local,equipo_visitante,ratio_local_pct_anota_1inn_local,local_pct_anota_1inn_local,ratio_local_pct_anota_1inn_ult15,local_pct_anota_1inn_ult15,ratio_visit_pct_anota_1inn_visit,visit_pct_anota_1inn_visit,ratio_visit_pct_anota_1inn_ult15,visit_pct_anota_1inn_ult15,ratio_pitcher_local_pct_permite_carrera,pitcher_local_pct_permite_carrera,pitcher_local_pct_permite_carrera_suavizado,ratio_pitcher_visit_pct_permite_carrera,pitcher_visit_pct_permite_carrera,pitcher_visit_pct_permite_carrera_suavizado,home_yrfi_target,away_yrfi_target,game_yrfi_target
778521,2025-03-30,136,133,0/3,0.0,0/3,0.0,0/3,0.0,0/3,0.0,0/0,0.22448979591836735,0.22448979591836735,0/0,0.22448979591836735,0.22448979591836735,0,0,0
778533,2025-03-30,119,116,0/2,0.0,0/4,0.0,0/2,0.0,0/2,0.0,0/1,0.0,0.20952380952380953,0/0,0.22,0.22,1,1,1
778532,2025-03-30,109,112,1/3,0.3333333333333333,1/3,0.3333333333333333,0/3,0.0,0/5,0.0,0/0,0.23529411764705882,0.23529411764705882,0/1,0.0,0.22408963585434175,0,0,0
778524,2025-03-30,139,115,0/2,0.0,0/2,0.0,0/2,0.0,0/2,0.0,0/0,0.23076923076923078,0.23076923076923078,0/0,0.23076923076923078,0.23076923076923078,1,0,1
778503,2025-03-31,138,108,2/3,0.6666666666666666,2/3,0.6666666666666666,1/3,0.3333333333333333,1/3,0.3333333333333333,0/0,0.2358490566037736,0.2358490566037736,0/0,0.2358490566037736,0.2358490566037736,1,0,1
778507,2025-03-31,141,120,2/4,0.5,2/4,0.5,0/0,0.16666666666666666,0/3,0.0,0/0,0.24074074074074073,0.24074074074074073,0/0,0.24074074074074073,0.24074074074074073,0,0,0
778508,2025-03-31,139,134,1/3,0.3333333333333333,1/3,0.3333333333333333,1/4,0.25,1/4,0.25,0/0,0.23636363636363636,0.23636363636363636,0/0,0.23636363636363636,0.23636363636363636,0,0,0
778509,2025-03-31,146,121,0/4,0.0,0/4,0.0,0/3,0.0,0/3,0.0,0/0,0.23214285714285715,0.23214285714285715,0/0,0.23214285714285715,0.23214285714285715,1,0,1
778502,2025-03-31,143,115,0/0,0.3157894736842105,0/3,0.0,0/3,0.0,0/3,0.0,0/0,0.23684210526315788,0.23684210526315788,0/0,0.23684210526315788,0.23684210526315788,0,0,0
778512,2025-03-31,110,111,0/0,0.3103448275862069,3/4,0.75,0/4,0.0,0/4,0.0,0/0,0.23275862068965517,0.23275862068965517,0/0,0.23275862068965517,0.23275862068965517,1,0,1
