fecha,id_partido,equipo_local,equipo_visitante,prob_yrfi_predicha,prob_local_anota,prob_visitante_anota,game_yrfi_real,home_yrfi_target,away_yrfi_target,prediction,prediccion_local,prediccion_visitante
2025-05-03,778076,144,119,0.646579,0.31215405,0.4861916,0,0,0,1,0,0
2025-05-03,778072,110,118,0.72663903,0.5535082,0.38775817,0,0,0,1,1,0
2025-05-03,778073,111,142,0.8856196,0.83785146,0.29459494,0,0,0,1,1,0
2025-05-03,778071,158,112,0.83156544,0.7714199,0.26312673,1,0,1,1,1,0
2025-05-04,778056,141,114,0.69367385,0.39356846,0.49487108,0,0,0,1,0,0
2025-05-04,778067,108,116,0.91397184,0.8967615,0.16670479,0,0,0,1,1,0
2025-05-04,778053,138,121,0.5925156,0.23333755,0.46849567,1,0,1,1,0,0
2025-05-04,778068,138,121,0.87557846,0.6848794,0.6051621,0,0,0,1,1,1
2025-05-04,778062,110,118,0.7015634,0.2303998,0.6122187,0,0,0,1,0,1
2025-05-04,778063,111,142,0.700801,0.5349564,0.35662168,1,0,1,1,0,0
2025-05-04,778057,147,139,0.7705418,0.721484,0.17614,0,0,0,1,1,0
2025-05-04,778051,134,135,0.77079624,0.23498708,0.7003923,1,0,1,1,0,1
2025-05-04,778061,146,133,0.8467913,0.55236584,0.6577369,0,0,0,1,1,1
2025-05-04,778059,143,109,0.9428415,0.9111669,0.35656253,1,1,0,1,1,0
2025-05-04,778052,140,136,0.68259895,0.48883432,0.37906432,0,0,0,1,0,0
2025-05-04,778048,137,115,0.7526027,0.40881878,0.5815204,1,1,0,1,0,1
2025-05-04,778050,108,116,0.8697121,0.71976054,0.5350838,0,0,0,1,1,0
2025-05-04,778058,113,120,0.39551485,0.19039467,0.25335824,0,0,0,0,0,0
2025-05-04,778060,144,119,0.90278447,0.88166493,0.17847227,1,1,0,1,1,0
2025-05-04,778054,158,112,0.75257075,0.34984452,0.6194306,0,0,0,1,0,1
2025-05-05,778044,112,137,0.42600983,0.13462833,0.33671257,0,0,0,0,0,0
2025-05-05,778047,146,119,0.47662663,0.24595585,0.3059115,1,0,1,0,0,0
2025-05-05,778045,147,135,0.74560016,0.56455344,0.4157726,0,0,0,1,1,0
2025-05-05,778043,118,145,0.58079654,0.13462351,0.51558256,0,0,0,1,0,0
2025-05-05,778042,158,117,0.8521538,0.79028505,0.2950134,0,0,0,1,1,0
2025-05-05,778036,138,134,0.71439075,0.39139217,0.53071713,1,0,1,1,0,0
